Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Streams,Popularity
118002,4,0.635,0.574,1,-7.453,1,0.322,0.229,0,0.126,0.592,153.938,,86
129360,4,0.767,0.722,0,-6.586,1,0.31,0.678,1.10E-05,0.231,0.52,141.075,195528048,67
104819,4,0.811,0.528,11,-7.278,0,0.275,0.291,0,0.0787,0.635,166.084,137537143,64
108169,4,0.613,0.668,11,-5.812,1,0.2,0.591,1.37E-05,0.169,0.716,141.826,,52
129293,4,0.749,0.512,1,-9.28,1,0.19,0.0526,0.0282,0.116,0.111,165.093,,64
242573,4,0.756,0.646,7,-5.795,1,0.319,0.152,1.81E-05,0.108,0.429,176.088,1767786447,84
222346,4,0.639,0.791,10,-4.443,0,0.254,0.0275,0,0.362,0.933,92.603,827487828,76
190176,4,0.679,0.648,2,-5.892,1,0.445,0.145,0,0.182,0.635,94.378,,57
216726,4,0.772,0.498,8,-7.661,1,0.649,0.115,0,0.0898,0.351,81.817,204870662,57
264746,4,0.657,0.421,9,-11.378,1,0.412,0.352,0.000218,0.187,0.181,174.063,414027705,67
237426,4,0.729,0.739,8,-9.5,0,0.338,0.696,9.37E-06,0.164,0.749,90.306,,55
211496,4,0.677,0.638,8,-8.631,1,0.333,0.589,0,0.193,0.435,82.81,447990202,74
216520,4,0.898,0.283,6,-12.335,0,0.356,0.319,0.000383,0.11,0.469,138.97,494439744,69
239266,4,0.495,0.722,6,-8.108,0,0.357,0.0697,0,0.113,0.539,175.627,1276861712,80
203293,4,0.539,0.722,4,-4.163,1,0.0282,0.314,0,0.117,0.497,143.78,165173979,59
204200,4,0.623,0.59,4,-5.014,1,0.028,0.646,0,0.295,0.578,137.073,,67
219160,4,0.682,0.795,6,-6.652,1,0.0489,0.305,9.41E-06,0.109,0.64,135.941,168947431,65
183440,4,0.431,0.841,6,-2.988,1,0.0371,0.13,0,0.0517,0.486,180.975,,55
229400,4,0.68,0.74,2,-5.064,1,0.0355,0.342,1.81E-06,0.117,0.644,127.024,377645118,72
306026,4,0.697,0.877,6,-3.885,1,0.0348,0.00913,6.93E-06,0.0726,0.768,121.533,,58
284960,4,0.41,0.9,0,-4.249,0,0.0654,0.0166,1.12E-05,0.339,0.56,176.96,126672427,64
232306,4,0.496,0.709,5,-5.174,1,0.0292,0.0507,1.04E-06,0.182,0.504,158.124,149034186,62
220573,4,0.553,0.872,1,-2.832,0,0.0781,0.196,0,0.0659,0.638,172.139,,72
193226,3,0.542,0.571,7,-5.299,1,0.028,0.156,0,0.101,0.506,131.877,471704856,72
239592,4,0.763,0.603,8,-9.201,1,0.0788,0.176,0,0.0863,0.402,140.068,,65
217360,3,0.39,0.791,9,-4.777,1,0.0568,0.223,0,0.0683,0.487,179.68,,52
197400,4,0.502,0.771,6,-4.246,1,0.032,0.0123,1.82E-05,0.0801,0.557,157.978,186750129,77
273482,4,0.748,0.679,10,-7.219,1,0.0384,0.492,8.47E-06,0.142,0.255,129.952,,33
240722,3,0.677,0.404,0,-9.552,1,0.027,0.653,0,0.249,0.355,83.087,109936317,69
156133,4,0.458,0.542,1,-6.989,1,0.0313,0.357,1.98E-06,0.114,0.26,79.747,,55
232093,4,0.365,0.541,7,-7.489,1,0.0304,0.0419,2.25E-06,0.281,0.329,86.041,202943986,74
179152,4,0.582,0.868,11,-3.927,1,0.0522,0.146,0,0.103,0.555,90.105,164787773,55
167480,4,0.586,0.559,4,-6.725,1,0.05,0.639,0,0.0872,0.437,177.945,491793961,80
200415,4,0.519,0.738,7,-5.452,1,0.0327,0.133,0,0.0986,0.506,155.972,,48
175226,4,0.549,0.608,5,-8.253,1,0.0481,0.682,0,0.0966,0.399,78.534,258277357,77
192954,4,0.752,0.655,8,-6.07,1,0.0366,0.118,0.000297,0.0909,0.669,89.97,,52
182666,4,0.491,0.907,7,-3.594,1,0.0481,0.0491,0,0.242,0.631,199.943,324153951,69
193929,4,0.523,0.837,7,-4.494,1,0.0335,0.301,0,0.172,0.523,82.006,221216775,66
174254,4,0.592,0.891,10,-3.144,1,0.0512,0.0267,0,0.352,0.674,99.983,256235486,71
201812,4,0.853,0.824,1,-3.287,1,0.103,0.0322,0,0.0859,0.888,108.044,628124201,78
201391,4,0.709,0.879,0,-4.218,1,0.042,0.158,0.00158,0.441,0.34,114.99,428615944,71
183550,4,0.79,0.831,11,-4.185,1,0.044,0.312,0,0.0797,0.872,124.987,1815032802,86
206019,4,0.711,0.809,2,-4.389,0,0.0955,0.0447,0,0.339,0.816,106.017,806132604,90
239905,4,0.529,0.469,1,-6.967,0,0.0358,0.0899,1.53E-05,0.831,0.344,87.864,,77
147557,4,0.671,0.839,1,-2.645,1,0.0866,0.179,0,0.0748,0.882,83.845,188116569,77
240654,3,0.675,0.725,4,-4.766,0,0.0334,0.0839,0,0.334,0.469,92.513,,81
162648,4,0.723,0.59,11,-7.688,0,0.0341,0.246,5.02E-05,0.201,0.587,97.481,145291886,78
162615,4,0.641,0.905,11,-3.694,1,0.0334,0.435,0.0491,0.185,0.875,94.874,,67
209259,3,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,1173927423,77
120308,5,0.422,0.44,11,-5.53,1,0.0544,0.617,0,0.0837,0.332,128.934,497093045,76
157636,4,0.707,0.474,1,-4.603,1,0.0672,0.578,0,0.11,0.538,109.991,173572722,67
178274,4,0.625,0.684,6,-6.146,1,0.0496,0.132,0.000334,0.137,0.133,104.023,,66
187723,4,0.642,0.706,7,-6.832,0,0.0507,0.518,0,0.243,0.86,136.854,752492021,80
202123,4,0.611,0.454,1,-9.166,0,0.0257,0.498,0.077,0.15,0.354,87.945,,64
160191,4,0.653,0.524,11,-9.016,0,0.0502,0.112,0,0.203,0.553,83.97,1198218273,82
164668,4,0.608,0.735,4,-5.497,1,0.0371,0.0156,1.69E-06,0.361,0.773,90.007,,52
192053,4,0.626,0.516,8,-6.05,1,0.0388,0.4,0,0.142,0.769,153.653,198275242,62
